MEASURE,SALVATION_DITCH,WILLOW_CREEK_DITCH,RED_MOUNTAIN_DITCH,HOLDEN_DITCH,HERRICK_DITCH
Acres Sprinkler,192.62,80.83,364.06,126.27,40.44
Acres Flood,166.98,63.91,20.92,0,19
% Sprinkler,54%,56%,95%,100%,68%
Sprinkler Efficiency,72%,72%,72%,72%,72%
% Flood,46%,44%,5%,0%,32%
Flood Efficiency,54%,54%,54%,54%,54%
